below20,below15,below10,below5,deg0,deg5,deg10,deg15,deg20,deg25,deg30,deg35,deg40,deg45,deg50,deg55
23.7,26.7,29.7,32.7,35.7,38.7,41.7,44.7,47.7,50.7,53.7,56.7,59.7,62.7,65.7,68.7
-33.6111241166956,-27.8296587250275,-22.0481933333594,-16.2667279416914,-10.4852625500233,-4.70379715835523,1.07766823331284,6.85913362498091,12.640599016649,18.422064408317,24.2035297999851,29.9849951916532,35.7664605833213,41.5479259749893,47.3293913666574,53.1108567583255
-40.3329818440446,-34.2252863369408,-28.1175908298371,-22.0098953227334,-15.9021998156296,-9.79450430852586,-3.68680880142212,2.42088670568162,8.52858221278537,14.6362777198891,20.7439732269929,26.8516687340966,32.9593642412003,39.0670597483041,45.1747552554078,51.2824507625116
-44.6247934820766,-38.3088046336237,-31.9928157851708,-25.6768269367179,-19.3608380882649,-13.044849239812,-6.72886039135907,-0.412871542906139,5.90311730554679,12.2191061539997,18.5350950024526,24.8510838509056,31.1670726993585,37.4830615478114,43.7990503962644,50.1150392447173
-47.843227026763,-41.3710388076312,-34.8988505884993,-28.4266623693675,-21.9544741502357,-15.4822859311038,-9.01009771197198,-2.53790949284014,3.9342787262917,10.4064669454235,16.8786551645554,23.3508433836872,29.8230316028191,36.2952198219509,42.7674080410827,49.2395962602146
-50.443678273573,-43.8452830526209,-37.2468878316687,-30.6484926107165,-24.0500973897643,-17.4517021688121,-10.8533069478599,-4.25491172690771,2.34348349404448,8.94187871499667,15.5402739359489,22.138669156901,28.7370643778532,35.3354595988054,41.9338548197576,48.5322500407098
-52.6384129689649,-45.9335012785975,-39.2285895882302,-32.5236778978628,-25.8187662074954,-19.113854517128,-12.4089428267607,-5.7040311363933,1.00088055397407,7.70579224434144,14.4107039347088,21.1156156250762,27.8205273154436,34.5254390058109,41.2303506961783,47.9352623865457
-54.544642990339,-47.7472167504016,-40.9497905104641,-34.1523642705267,-27.3549380305892,-20.5575117906518,-13.7600855507143,-6.96265931077689,-0.16523307083944,6.63219316909801,13.4296194090355,20.2270456489729,27.0244718889103,33.8218981288478,40.6193243687852,47.4167506087227
-56.2343273731831,-49.3548961349813,-42.4754648967794,-35.5960336585775,-28.7166024203756,-21.8371711821737,-14.9577399439718,-8.07830870576991,-1.19887746756802,5.68055377063387,12.5599850088358,19.4394162470376,26.3188474852395,33.1982787234414,40.0777099616433,46.9571411998452
-57.7549963260708,-50.8017628700651,-43.8485294140594,-36.8952959580537,-29.942062502048,-22.9888290460423,-16.0355955900366,-9.08236213403092,-2.12912867802523,4.82410477798047,11.7773382339862,18.7305716899918,25.6838051459975,32.6370386020032,39.5902720580089,46.5435055140146
-59.1397781044279,-52.1193374063574,-45.098896708287,-38.0784560102166,-31.0580153121462,-24.0375746140757,-17.0171339160053,-9.99669321793487,-2.97625251986445,4.04418817820598,11.0646288762764,18.0850695743468,25.1055102724173,32.1259509704877,39.1463916685581,46.1668323666285
-60.4127353617272,-53.3305145710338,-46.2482937803405,-39.1660729896472,-32.0838521989539,-25.0016314082606,-17.9194106175673,-10.837189826874,-3.75496903618072,3.32725175451259,10.4094725452059,17.4916933358992,24.5739141265925,31.6561349172858,38.7383557079791,45.8205764986724
